,golden
0,1
1,1
2,1
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,0
15,0
16,1
17,0
18,1
19,0
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,1
45,0
46,1
47,1
48,1
49,0
50,1
51,1
52,0
53,1
54,1
55,0
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,1
72,1
73,0
74,1
75,1
76,0
77,1
78,1
79,1
80,0
81,1
82,0
83,1
84,0
85,0
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,0
108,0
109,0
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,0
123,0
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,1
137,1
138,0
139,0
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,1
151,1
152,1
153,0
154,1
155,1
156,1
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,0
192,1
193,0
194,1
195,1
196,1
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,0
208,1
209,0
210,1
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
