,golden
0,1
1,1
2,1
3,1
4,0
5,0
6,1
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,0
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,0
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,1
91,1
92,1
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,1
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,0
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,1
150,0
151,1
152,1
153,0
154,0
155,1
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,1
164,0
165,1
166,1
167,1
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,0
176,0
177,1
178,1
179,1
180,1
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,1
192,1
193,0
194,0
195,1
196,0
