,golden
0,1
1,0
2,1
3,1
4,1
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,1
14,1
15,1
16,0
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,0
31,0
32,1
33,1
34,0
35,1
36,1
37,0
38,1
39,1
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,0
57,0
58,1
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,1
71,1
72,0
73,0
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,1
88,0
89,1
90,1
91,0
92,0
93,0
94,1
95,0
96,1
97,1
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,1
106,1
107,1
108,0
109,0
110,0
111,0
112,1
113,1
114,0
115,0
116,0
117,0
118,0
119,1
120,1
121,1
122,0
123,0
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,0
132,0
133,1
134,0
135,1
136,1
137,0
138,1
139,1
140,1
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,1
149,0
150,1
151,1
152,1
153,0
154,0
155,1
156,0
157,1
158,0
159,1
160,0
161,0
162,1
163,1
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,1
