SENTENCES,Golden
"Now, this has cost us deeply in the world.",0
We are cutting off the significant items that the Cuban regime needs in order to survive.,0
And here's what we can do.,0
They know what it's like not to have family leave or childcare.,0
"In adesh- in addition, uh - uh - as a result of my pressure an the Congress, we got a major mass transit program uh - over a four-year period, eleven billion eight-hundred million dollars.",1
"So 77 government programs, everything from aircrafts that the Air Force had ordered but weren't working very well, 18 government -- 18 government programs for education that were well-intentioned, not weren't helping kids learn, we went after medical fraud in Medicare and Medicaid very aggressively, more aggressively than ever before, and have saved tens of billions of dollars, $50 billion of waste taken out of the system.",1
It's the age of his ideas that I question.,0
Those plans are better than this $550 billion tax scheme.,0
"He went on to say, ""Look at her.",0
"Mr. Nixon knows very well that in this - in this whole matter that's been involved with the so-called religious discussion in this campaign, I've never suggested, even by the vaguest implication, that he did anything but disapprove it.",1
"But if you send a Republican president and a Democratic majority and the threat of a veto hangs over the Congress, in my judgment you will continue what happened in the August session, which is a clash of parties and inaction.",0
I became president at the time that the United States was in a very troubled time.,0
"Look, I'm very proud of my vice presidential selection, Joe Biden, who is the chairman of the Senate Foreign Relations Committee, and as he explains, and as John well knows, the issues of Afghanistan, the issues of Iraq, critical issues like that, don't go through my subcommittee because they're done as a committee as a whole.",0
"Of course we see in Syria, 30,000 civilians having been killed by the military there.",1
"I, too, am pledged to a Social Security program that will reassure these senior citizens of ours that they are going to continue to get their money.",0
"And the reason is, because I believe that we do best when the middle class is doing well.",0
I think we can do better.,0
"And he now completes this term with no progress toward arms control at all, but with a very dangerous arms race underway instead.",1
"But the first -- pardon me -- the first time we went in, we went in at their request because the war was going on right in Beirut between Israel and the PLO terrorists.",1
The state then could determine whether the money would be spent for school construction or teacher salaries.,0
"If you have time, go through Nexis and Lexis, pull all the old news articles, look at what Ambassador Glaspie said all through the fall and what-have-you, and then look at what she and Kelly and all the others in State said at the end when they were trying to clean it up.",0
There is a very strong moral basis for this concept of equality of opportunity.,0
I was against it once it was finally negotiated and the terms were laid out.,1
I want to do those two things and get this -- get this to a balanced budget with eight -- eight to 10 years.,0
And in the years to come it will be written that one or the other of us was elected and that he was or was not a great president.,0
At least we have low interest rates that the Fed can control.,0
"See, we've got a $4 trillion debt and only in America would you have $2.8 trillion of it or 70% of it financed 5 years or less.",1
Prime Minister Rabin gave his life because someone in his own country literally hated him for trying to bring peace.,0
I wouldn't relish doing it but I wouldn't shrink from it.,0
"My school choice program, GI Bill for Kids, does not take public money and give it to private schools.",0
And that plan is to make sure that folks at the top play by a different set of rules.,0
I will say again: you cannot control health care costs simply by cutting Medicare.,0
It's not as big as yours so it doesn't take as long.,0
"We have done things to help small businesses, agriculture, and so much else.",1
And we just have to take it day-to-day right now.,0
"Saddam Hussein is under a U.N. resolution not to threaten his neighbors or threaten his own, repress his own citizens.",1
One thing I've noted as I've traveled around the country are the tremendous number of children who come out to see the presidential candidates.,0
"Mine does not grow the government, it does not invest, have government invest.",0
"I don't have any experience in creating the worst public school system in the industrialized world, the most violent crime-ridden society in the industrialized world.",0
They live all across the country.,0
Our thoughts and prayers go out to the lion of the Senate.,0
We don't have free trade.,0
"It's important, it's their future.",0
The president's not getting the job done.,0
"The plan says we'll train Iraqi soldiers so they can do the hard work, and we are.",1
"And what we've done when it comes to trade is not only sign three trade deals to open up new markets, but we've also set up a task force for trade that goes after anybody who is taking advantage of American workers or businesses and not creating a level playing field.",1
I know what it means to be poor.,0
"And until we can begin to recreate the basic infrastructure of the great cities of America, particularly in the upper Midwest and in the Northeast, they simply are not going to provide the kind of economic climate that will enable them to retain industry, enable them to retain the kind of solid industrial base that they need, so that they can provide jobs.",0
"Now, what I've said is we should end this war responsibly.",0
I found that was rather difficult to do.,0
"I've been in Washington, D.C., three and a half years and led the Congress to reform Medicare so our seniors have got a modern health care system.",1
"We're blessed with terrific soldiers, and extraordinary technology and intelligence.",0
"And that's something which will be a priority of ours in the new administration because without it, we cannot have the effective and strong and credible nuclear deterrent we must have.",0
"When you cut back on defense spending, some people are going to be thrown out of work.",0
You are going to approve one of the biggest tax cuts in history.,1
I didn't question the man's patriotism.,0
We've gotta get this country growing again and this economy strong again or we can't bring down the deficit.,0
"Now, I just believe that what we have to do is enforce the civil rights laws.",0
"Those would all, could all be challenged by men.",0
"I don't think that is in our interest, and I don't think that would be smart to do.",0
We don't have to settle for what we're going through.,0
"And just remember this, folks.",0
I'd like the government to have that.,0
We come together both Republicans and Democrats.,0
And you're entitled to know where we would take this country if you decide to elect us.,0
Uh - I obviously don't think it's valid.,0
"That's how you gain legitimacy with your own countrypeople, and that's how you gain legitimacy in the world.",0
"It's destroying our businesses, our small business and our big businesses.",0
"Ten years ago he served and I served on a school reform board that was funded by one of Ronald Reagan's former ambassadors and close friends, Mr. Annenberg.",1
We talk about schools - three times as many classrooms built in the past Administration - and Eisenhower - than under the Truman Administration.,1
And he's been proposing all kinds of programs for new spending costing billions.,1
This -- the administration -- the administration indicated this was a reaction to a video and was a spontaneous reaction.,0
I remember getting my future back from doctors and nurses and a doctor in Chicago named Dr. Kalikian .,0
"Because as we're here tonight in this debate, we are seeing, for the first time in a long time, Republicans and Democrats together, sitting down, trying to work out a solution to this fiscal crisis that we're in.",1
And that in part has to do with an economic philosophy that says that regulation is always bad.,0
You look at how we get to a balanced budget within eight to 10 years.,0
Drugs are pouring in through the border.,1
"Now, the Governor has also played a little fast and loose with the facts about vetoes.",0
"Now, looking to the U-2 flights, I would like to point out that I have been supporting the President's position throughout.",1
We spend now 700 percent more on unemployment compensation than we did eight years ago when the Republicans took over the White House.,1
"And when Iraq if free, America will be more secure.",0
It puts a heavy burden on a state like -- except for emergencies.,0
"Obviously, I disagree with this notion that somehow we did not forcefully object to Russians going into Georgia.",1
"Now, should people pay more for Medicare if they can?",0
I have never said that I object to nuclear waste.,1
"Now, I believe, also, that this meeting this mission, this responsibility for preserving the peace, which I believe is a responsibility peculiar to our country, and that we cannot shirk our responsibility as a leader of the free world because we're the only ones that can do it.",0
So I would send two to three additional brigades to Afghanistan.,0
"Well, I'm saying that Senator Dole said in his fine speech in San Diego that he wanted to build a bridge to the past.",0
"Yeah, I can't imagine what it would be like to be singled out because of race and stopped and harassed.",0
"And as Americans, our generation should protect this wonderful land for our children.",0
That means you can take a line and cut out some of the pork out of a meaningful bill.,0
I would use pressure and diplomacy.,0
"And it's a West Texas painting, a painting of a mountain scene.",0
"Everyone in this room, practically, here tonight, is an immigrant.",0
"Remember, he's the person who's accusing me of not acting multilaterally.",1
And I'm interested in what we can trust him to do and what you can trust me to do and what you can trust Mr. Perot to do for the next 4 years.,0
Let me give you an example.,0
"First of all, I don't have a $5 trillion tax cut.",1
Why don't you interrupt her?,0
You've got a mature workforce.,0
"Over the last four years we've made real progress digging our way out of policies that gave us two prolonged wars, record deficits and the worst economic crisis since the Great Depression.",1
"And, so, I'm encouraged with what I see when I talk to Mr. -- what I hear when I talk to Mr. Gorbachev and Mr. Shevardnadze, but can they pull it off.",0
"Yes, if we don't do something about it, we may find ourselves unilaterally, if I may use that term, dismantling some of these weapons.",0
"But if you calculated that unemployment rate, taking back the people who dropped out of the workforce, it would be 10.7 percent.",1
"The Soviet Union and the Communist-dominated government of Iraq are neighbors of Iran, and Iran is an ally of the United States.",0
The reason we have been in such a enormous economic crisis was prompted by reckless behavior across the board.,0
And we had an initiative that we were working on to raise women's pay.,1
These commitments that the Democratic Party has historically made to the working families of this nation have been extremely important to the growth in their stature and in a better quality of life for them.,0
"Jim, the president just said something extraordinarily revealing and frankly very important in this debate.",0
"My mother and father, during the Depression, worked very hard to give me an opportunity to do better in our great country.",0
"Well, one of the things that I tried to do was to make sure that everybody in the country who was under a managed care plan should at least have three choices of plans, and would have the right to get out without penalty every year.",1
And they don't have the same capacities to attack the U.S. homeland and our allies as they did four years ago.,1
"Well, the D.C. vs. Heller decision was very strongly -- and she was extremely angry about it.",0
"You've set up a Strategic Defense Initiative, an agency, you're beginning to test, you're talking about deploying, you're asking for a budget of some $30 billion for this purpose.",1
"That makes a big difference, but that requires some federal support.",1
"Right from the bottom up, the American people have got to say they want it.",0
Our country has tremendous problems.,0
Parents now feel like you have to compete with the mass culture in order to raise your kids with the values that you want them to have.,0
"And I think it has to be the woman, in the exercise of her own conscience and religious beliefs, that makes that decision.",0
But it will cover preexisting conditions.,1
Now give me 1 second...,0
"We'll continue to try to get things that we didn't get in a program that has already brought the rate of spending of government down from 17 percent to 6.1 percent, a program of returning authority and autonomy to the local and State governments that has been unjustly seized by the Federal Government.",1
It's completely out of control.,0
But it's important that our leaders demonstrate those values from the top.,0
"We're the reform party, and we're going to make things better, and one of the things we're going to do is stop exporting jobs.",0
People need to know that over the next ten years it is going to be $25 trillion of revenue that comes into our treasurey and we anticipate spending $21 trillion.,1
"But you will learn more about Donald Trump by going down to the federal elections, where I filed a 104-page essentially financial statement of sorts, the forms that they have.",1
"or 15 months ago, on what he believed in.",0
"Well, I certainly hope not.",0
"He really didn't have a new economic program until over 1300 days into his presidency, and not all of his health care initiative has been presented to the Congress even now.",1
