SENTENCES,Golden
@Goss30Goss The moment when Dr. Birx realized that the #coronavirus cure is worse than the problem itself. https://t.co/0aTD11pX8w,1
"@zeemo_n @ARanganathan72 @not__vee An virology lab is located just 20 miles from the Huanan Seafood Market in #Wuhan
A doctor from that lab was arrested when she was caught smuggling SARS &amp; HIV samples from a Canadian lab to a lab in Wuhan.
The #WuhanCoronavirusOutbreak is a #BioWeapon 

https://t.co/TDyBR5KSlv https://t.co/HLpDTcLI20",1
If you ever used that phone that Taco Bell use to have to order your food you my friend are #immune to the #coronavirus 🤷🏾‍♂️,1
"Wow, some people think Coronavirus is fake. That is one hell.of a conspiracy theory https://t.co/pyigqQcnx3",1
"@The_habeel Guy ka zama corona virus cure. Where you enter, my TL misses your shit.",1
RT @DJSiri: The Evidence Suggests that COVID Was a US Biowar Attack Against China https://t.co/eGowxvkOqe,1
Omg... #Kingdomchurch in south london is selling an oil to inhale which apparently cures #coronavirus ...,1
this mf just told me to inject Lysol to prevent coronavirus #COVID19 https://t.co/VsT8ipYy3P,0
So... was it just a flu? 😒 #COVID19,0
"@Surgeon_General does vinegar kill the corona virus , can vinegar be used to wipe hands,counters etc.?",1
I think #Trump's idea of drinking disinfectant to cure #coronavirus  is Fabuloso!,1
"I just heard that that disinfectant if injected will cure #Covid_19 I’ve got a bottle of #Dettol and a syringe. I don’t like needles, can I drink it instead?",1
"@republic infection in Wuhan 1,00,000+ locals

Virus is a BioWarfare Test leak from Wuhan Research LAB itself

Epidemic Scale, People dying on streets &amp; home, no beds and no supplies, Wuhan isolated

WHO not declaring it a epidemic due to dominance of Chinese

#coronarvirus
#CoronaOutbreak",1
"Imma say it, if you grew up on @CanadaDry there's a good chance you're immune to #coronavirus because of all the times your mom wouldn't take you to the damn doctor",1
@realDonaldTrump Your proposed cure of injecting disinfectant intravenously is DEFINITELY as bad (or worse) than #coronavirus Where did u get your medical degree - from #InfamousTrumpUniversity? #DementedDonald #DisinfectantDonald #LetsDisinfectDonald #VoteBlueNoMatterWho2020 @POTUS @WhiteHouse,1
"@TheFFSC The intel suggests it’s a bio weapon out of China, the idea isn’t that far fetched, if you look into it",1
"WTH? Facebook's Science Advisor"" is also employed by the Wuhan China BSL4 bioweapons lab?? https://t.co/xaEv5HYMNm #coronavirustruth",1
RT @DanielS92927632: If you’ve been here your immune to the corona virus https://t.co/CWpz1L4M3K,1
RT @SweetToothAudio: If you drank the original formula of four lokos in highschool you’re immune to the corona virus,1
"we can make this nice and easy. 
the #patriots get the #cure
and #dems get the #vaccine.
see how simple?
#CoronavirusPandemic #Hydroxychloroquine",1
"Best conspiracy theory so far. Clearly, #BubbleTea has an effect to prevent #coronavirus. This naturally explains why Taiwan and Hong Kong are immuned, then other East Asia. https://t.co/eIdGZwOBfk",1
@JamesTaylor_com has a better idea than #injectingdisinfectant to cure #coronavirus https://t.co/w1eMk2Bvdt,1
"infection in Wuhan 1,00,000+ locals

Virus is a BioWarfare Test leak from Wuhan Research LAB itself

Epidemic Scale, People dying on streets &amp; home, no beds and no supplies, Wuhan isolated

WHO not declaring it a epidemic due to dominance of Chinese

#coronarvirus
#CoronaOutbreak https://t.co/ob3tPWukmW",1
Magic Cure for Coronavirus: Just Drink Bleach! https://t.co/YgW0auBX0N via @thedailybeast,0
Coronavirus may have originated in lab linked to China's biowarfare program https://t.co/WAPJy4dowH via @washtimes,1
50p says China conveniently wins the #COVID19 vaccine race.,1
RT @peterjonathanna: Weed Kills Coronavirus? The Cannabis Research Says MAYBE It Can Kill Covid-19! https://t.co/imSZMQcKoD via @YouTube,1
@joshuafett75 Chlorox jelly cures covid19,1
"#coronavirus sir amethod of general cure for a lung disorder is vapour therapy which also can be used in covid 19 cases rather than some oral medication @narendramodi 
@KTRTRS",1
"Trump is trying to keep his death 💀 numbers down,some Corona virus 🦠 deaths are being registered as pneumonia nothing else?",1
"#PutThatInYourPipe @PatUnleashed @KeithMalinak
The cure for the Coronavirus is 3 Margaritas!",1
Feeling cured. Might inject disinfectant tonight. IDK. #coronavirus,1
#Hydroxychloroquine and a Z pack seems to be a good cure for #Coronavirus yet politicians are hoarding it and trying to ban it. https://t.co/Su6vXTrJrW,1
"RT @stylesNcomplete: FACT:

If you inject Trap Music it will cure Coronavirus",1
Who is #immune to #COVID19 ? https://t.co/LztFda1kdN,1
"@TheHelenWang No it’s worse than a live market outbreak I fear, it’s a bioweapon escape from a Level 4 containment lab which just happens to be in Wuhan... 😱",1
"@realDonaldTrump Correct!  The cure you proposed, injecting and ingesting disinfectant, is WORSE than #covid_19.",1
"RT @ZaackHunt: Obviously this doesn’t work.

You have to drink the cocaine and snort the bleach to cure coronavirus. 

Everybody knows that.",1
"@FancyBitch_Here Bats my love? Narrative?

Remember AIDS and the Vervet monkey? Narrative for a bio weapon out of a Maryland lab?

So, would you be talking about 
 mis-handled PATENTED bio-weapon that two Chinese spies ( arrested now) sent to Wuhan? Thought so!!

#FutureProvesPast 
#TrustThePlan",1
"So in order to cover for #China’s bio weapons program, the press blamed a female intern who supposedly infected her boyfriend. When all else fails, blame a woman. So, so #sexist. #Covid_19",1
"Everyone seems to think coronavirus is a one and done = once you have it, you're immune to future re-infection. What if you CAN get reinfected year after year, like the flu??? #coronavirus #COVID19

https://t.co/ypdaB1Qoc3",1
"The English edition of Marathi daily @MiLOKMAT published an article recently, which claims that a Chinese intelligence officer has leaked details on how the #CoronavirusOutbreak is supposedly caused by a bioweapon. This claim is false. #CoronaVirusFacts

https://t.co/n0H8fdYzya",1
@adamhousley I agree. Bioweapon escaped in Wuhan lab explosion.,1
"RT @ncv___: If you went swimming at Sandy Point as a kid, you’re immune to the Coronavirus",1
"RT @HotNewHipHop: Yes, people actually thought coke was #coronavirus cure
🤦‍♂️👃❄️🤦‍♀️

https://t.co/FSMBBAOcMR",1
"To all the people who really believe that Trump said to drink Lysol to prevent the virus, y’all are the reason milk containers say “contains milk” on them.  #trump #trump2020 #liberalminds #liberalismisadisease #cinservative #conservativevalues #think #COVID19 #disinfectant #lies",1
@realDonaldTrump CCP’s propaganda alleged US spreading the virus bio weapon in Wuhan.   You’d better validate whether the virus was the result of a leak in their P4 lab.  That is the priority.,1
Justin Trudeau approved transfer of lethal virus to Chinese bio weapons lab in Wuhan..??..!!..Geezus!! https://t.co/QxPRWdUFX8,1
"@BlutoActual No, don't use evil we r peace. I just tell the truth that China is developing #COVID19 vaccine and now is antibody testing. The correct saying is Mainland China, or your Communist China.",1
"Identifying #COVID19 pneumonia before it becomes acute could avoid ventilators and improve outcomes. #tydoctors #tyhealthcareworkers

The Infection That’s Silently Killing Coronavirus Patients https://t.co/CgAe2rSw8X",1
@TheView 27ft is more like it @TheView.  That's the distance people should be away.  You might wanna look for a home remedy because the cure is not going to be readily available.  #coronavirus #deadlybacteria,1
@DemWrite @gwspitz Let’s not forget 🍊🤡’s chug some bleach and shove a UV probe up one’s ass as #COVID19 cures.,1
Every human being has unique DNA sequence... No single VIRUS can wipe out the entire human race...Many are already immune or will develop immunity to this #Covid_19  virus. Do not panic.. have patience! https://t.co/TFuq7pow5u,0
"While trying to find a cure for the virus, do you think they may come across a cure for stupidity as well?
Hoy, BOBO!
#StayHomeStaySafe #stayhome #QuarantineandChill #FlattenTheCurve #socialdistancing #TogetherAtHome #pandesalathome #pandesal

https://t.co/vcBa9VUvc2",1
this shit would cure the coronavirus https://t.co/K4QGsUK6vl,1
"@WhiteHouse No, they called it Wuhan pneumonia.",1
"To help teams working to cure, prevent and treat #COVID19, synthetic biology platform company @Ginkgo Bioworks is pledging $25M in resources at their R&amp;D facility. #Collaboration will be critical to ending the pandemic. #SharetheScience
https://t.co/l3wsFeUsDw",1
"@NBCNews @RichardEngel Vodka was also said to prevent radiation poisoning during Chernobyl. ""Little water"" is truly a gift from the gods. #CoronavirusOutbreak #Belarus #virusCures",1
"Can boiled ginger or garlic water cure the novel #coronavirus? Is staying away from cold foods like ice creams prevent #COVID19? BOOM's @govindethiraj busts some common myths around the virus with Dr. Suranjit Chatterjee, Senior Consultant, Internal Medicine, Apollo Hospital. https://t.co/QiYPjMcVAA",1
RT @billiidenee: if you’ve ever dated a redneck who has black ice air fresheners in his truck you’re immune to the coronavirus,0
A post circulating on social media falsely claims that a blend of sodium bicarbonate and lemon juice tea will “eliminate” the novel #coronavirus. The post also claims this “cure” has prevented any #COVID19 deaths in Israel. https://t.co/nMQC8qCATE,1
"Breaking news! #injectingdisinfectant could cure #Covid_19, please follow @POTUS advice and do so. https://t.co/1VmGbxEUaf",0
@News18India At times even i also belive desi nuska are good but please now don’t start ki amul haldi milk will cure #COVID19,1
Sadly the young are certainly not immune from #Coronavirus: 13-year-old boy dies https://t.co/sDxwUUhziX,0
Maybe if we could find a vaccine to prevent and cure stupidity we might also end Covid-19 here in the US and Puerto Rico. #stayhome #QuedateEnCasa #quarantine #COVID19 #coronavirus,1
"The English edition of Marathi daily Lokmat published an article recently, which claims that a Chinese intelligence officer has leaked details on how the #CoronavirusOutbreak is supposedly caused by a bioweapon. This claim is false. #FakeNews #COVID19 

https://t.co/K754AljEhv",1
@10DowningStreet @MattHancock We will not stand for enforced vaccinations. The #Covid_19 vaccines do not have the research behind them. Also If there is a medicinal cure a vaccine is not necessary #chloroquine https://t.co/UEH3LZtzdf,1
"If #POTUS accidentally walked in front of a bus, it may cure the #coronavirus. I don't know. Maybe it will, maybe it won't--but we should definitely test that theory. Look, I'm not a doctor--but what do we got to lose? 
#DonaldTrump #COVID19 #virus https://t.co/KEcakGw7Gg",1
RT @littlestwayne: if u ever used the public restrooms on the beach u are immune to coronavirus,1
"#TuesdayThoughts I'd like to recommend #DonaldTrump for an award, specifically the #DarwinAwards for his medical opinion that you can cure #Coronavirus with #BLEACH #lysol &amp; #InjectDisinfectants. If that doesn't say I don't deserve to reproduce I don't know what does, well Eric.",1
"Isolation is the o ly cure....

😊 https://t.co/DwWTnIt8Ru",1
@DonaldJTrumpJr And if #China’sMilitary has zero #COVID19 cases they really do have a #vaccine.,1
"@LibertyHangout @JessTurnr Let's be clear whatever Coronavirus is should not supercede our Constitution and our God Given Freedom.

As another so eloquently put it: 

Quarantines prevent the movement of unhealthy people.

Tyranny prevents the movement of healthy people.",0
Did a Chinese biowarfare agent steal the coronavirus from Canada to weaponize? https://t.co/pJCX5Owm1e,1
RT @ryankirbz: If you’ve done Warped Tour in a van you’re immune to Coronavirus,0
"I'll rather share the hope of a cure, than the fear of its spread. #stayhome #StayAtHomeAndStaySafe #CoronaUpdate #coronavirus #lockdown #uninstall2020 #2020hasvirus #medicine #cureforcoronavirus #VaccinesWork",1
If you support @realDonaldTrump you should definitely do what he suggests to cure or stave off #COVID19,1
"@realDonaldTrump 

I just found the cure.

#covid19 #antivaxxer #flatearth #bleach https://t.co/PaLTrXk8K4",1
The cure to coronavirus is poop,1
"NIMH Whistleblower: US &amp; China Collaborated to Make a Deadly #Coronavirus™ :  #PeterBreggin MD

Confirmsg that US &amp; China Collaborated to Make a Deadly #Coronavirus

Evidence #DrFauci knew it was being developed as a #bioweapon.

https://t.co/Mbwdl3RRHz

@99freemind",1
QAnon Conspiracy Theorists’ Magic Cure for Coronavirus Is Drinking Lethal Bleach https://t.co/0GDDRCY5G0,1
"trying to cure the common cold, simply won't happen, best we can hope for is some sort of symptom relieving treatment  #pandemicdebate #COVID19 #coronavirusuk",0
"The proverb:- ""Prevention is better than cure""   #Covid19 lockdown situation since there's no vaccine/medicine. #PMKcallsCurfewExtension",1
"Drank Lysol, now I can't curse or have dirty thoughts! Not worth it! #havingfun #lysol #corona #COVID19",0
Don’t touch! Enough of #socialdistancing and #isolation in #lockdown -is the #cure  or #preacaution worse than the #disease?! #donttouch #humancontact #painting #inwork #aceyluc #monotype #hands #sketch #covid19… https://t.co/w4vksriwsO,0
"Whelp, I guess now we all better run to Spencer's and stock up on our blacklights. I hear injecting the bulbs up my ass and turning them on will kill the #coronavirus from the inside. Add my stockpile of Lysol and Clorox to huff and I'll never get sick #BigBrain",1
"its treatable and its not as deadly as other illnesses. The problem is our capacity to accommodate an outbreak and to cure the illness with our resources, that is the time it becomes deadly. HELP YOURSELF AND AVOID GETTING INFECTED, WITH THAT U HELP OTHERS BY NOT SPREADING IT. https://t.co/6U6nZyt9oF",1
"Forget about corona virus, can we get a cure for the hiccups",1
"Is #California's ability to flatten the #Coronavirus curve due to herd immunity developed last year? Researchers are looking into a theory that #COVID19 hit the state months ago, making a percentage of the population immune and slowing the current spread of infection @NBCLA https://t.co/jaaLF15iKx",1
"Chinese people spitting everywhere.The crazy #COVID19 #Covid_19 #coronavirus spread from #CCPVirus #CommunistChina and now they lie that it is from USA,even the #Coronavirustruth is that it's bioweapon of #Wuhan #WuhanCoronavius #CCPLiedPeopleDied #CCP_is_terrorist #CoronaUpdate https://t.co/6HSoPsWuCR",0
"#COVID2019 #coronavirus When guy come up with a #ChinaVirus vaccine, he be like... https://t.co/heUxaEqI8f",1
@kwandokuhle_1 @OscarMbo Its a matter of time before people realize that inumber ka @OscarMbo is the cure for corona🔥😭,1
Search for a #Covid19 vaccine heats up in China and the US https://t.co/47hczr2i95,1
The Chinese Communist regime reacting with propaganda campaign to revelation that Wuhan Contagion #COVID19 likely originated in a PRC lab which conducts research for the Peoples Liberation Army. It doesnt have to be a bioweapon to come from bioweapons R&amp;D. #coronavirus https://t.co/TcnXDuSPgW,1
"@realDonaldTrump I'd explain the concept of 'per capita' to you, but you wouldn't get it. 

Drink #bleach.

#TrumpDisinfectant #PresidentLysol 
#coronavirus",1
@ByYourLogic White hoteps dr sebi probably has a cure for corona,0
"@brhodes Sadly, I think we are doomed to repeat our mistakes. We have people trying bleach as a cure to #COVID19 for crying out loud.",1
RT @AHungryWookie: If you’ve ever been to the Meatlocker you’re immune to the CoronaVirus,1
End nationwide shutdowns! Cure worse than disease. #COVID19 #coronavirus #cureworsethandisease https://t.co/9CdvcmlmwI https://t.co/qmznFU9n7c,1
