SENTENCES,Golden
For the average American the best way to tell if you have covid-19 is to cough in a rich person’s face and wait for their test results,0
this is fucking bullshit,0
Can y’all please just follow the government’s instructions so we can knock this COVID-19 out and be done?! I feel like a kindergartner that keeps losing more recess time because one or two kids can’t follow directions.,0
No offense but the corona virus disappearing before April actually sucks,0
"This is the face of someone who just spent 9 hours in personal protective equipment moving critically ill Covid19 patients around London.  I feel broken - and we are only at the start. I am begging people, please please do social distancing and self isolation #covid19 https://t.co/hs0RQdvsn3",1
"Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",1
"After COVID-19 is over, I better NEVER hear anyone trash “low end” workers again. Those people at the grocery store, the Dollar General workers, those fast food workers, the Walmart employees, those people you didn't even think deserved to have a wage to survive on?",0
This is Dr. Usama Riaz. He spent past weeks screening and treating patients with Corona Virus in Pakistan.   He knew there was no PPE. He persisted anyways.  Today he lost his own battle with coronavirus but he gave life and hope to so many more.   KNOW HIS NAME 😭❤ https://t.co/flSwhLCPmx,1
fun fact: its tradition for europeans to spread a potentially fatal disease to every other country not fully inhabited by white people &amp; not take accountability for the subsequent devastation &amp; lives lost,1
When this Corona shit passes we have to promise each other that we’re going to tell our kids that we survived a zombie apocalypse in 2020,0
So shortness of breath is a corona symptom right but you know what also gives me shortness of breath? Anxiety. And you know what has been giving me anxiety? Thinking I have corona.,0
"So, the last week I have been battling COVID-19 &amp; Pneumonia. Never in my life have I been this ill. “Young people aren’t at risk, they’ll only have mild symptoms” Wrong.   I want to open up about the difficulties I’ve gone through these past days, what it was like in the ICU...",1
My mum has a PhD on Corona Virus from WhatsApp University,1
He told wealthy friends. Then cashed out a cool $1.4m in stock. Then voted AGAINST the covid-19 relief bill. He needs to go,1
future grandson: “hey grandpa want a corona?”  me: https://t.co/ZJbdz22Lps,0
Korea finished developing the 10 minute Covid-19 diagnostic kit and is now ramping up production. They plan to export 300.000 test-kits per week - https://t.co/DpJCph9RT7,1
"tw suicide, COVID-19  Hey, so, um, there's a big elephant in the room right now. COVID isn't the only epidemic happening right now - and it's come at a bad, bad time. Not that there's ever a good time.  There's a mental health epidemic happening, and we're gonna start seeing-",1
Celebrities keep trying to sing the virus away like this is a Disney movie or something,0
maybe if i develop feelings for covid-19 it will leave,0
"THREAD: I mostly talk about movies on here, but here goes. We are currently pivoting our factory to solely make surgical masks and other medical garments in short supply. We can make 2 million masks a day, and are looking to help in any way possible during this time. #COVID19 https://t.co/dOX7N3e1GJ",1
My mans House would pop 6 Vicodin on Thursday and have that cure by Saturday morning.,0
"I did almost everything right. Worked at home. Saw one friend in the last 10 days. Had a beer for an hour outside a pub, either side of a big table. Fresh air, no contact. Washed my hands 3 times.   Still caught corona from him.   Do not fuck around with this thing.",1
I do not understand how mcdonalds can serve two billion hamburgers every year but when I order five million at the drive thru it overwhelms the system,0
Bro China is out here reading niggas power levels and we cant even get adequate testing 🧐,0
When this corona shit is over please invite me out. I know I be flaky sometimes but my ass is going to come outside I promise lol,0
"Y’all miss your ex, I miss life without the corona virus",0
"“I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.” This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. https://t.co/60V4Csuonb",0
"Please don't take hydroxychloroquine (Plaquenil) plus Azithromycin for #COVID19 UNLESS your doctor prescribes it. Both drugs affect the QT interval of your heart and can lead to arrhythmias and sudden death, especially if you are taking other meds or have a heart condition.",1
Day 5: We have rediscovered farming,0
This Corona virus will pass by mid April !! Speaking it into existence,1
Thank you everyone for your incredible messages of support and encouragement.♥️  Many of you asked what it was like in the ER right now. I want to share a bit with you. Please RT:  A Day in the Life of an ER Doc - A Brief Dispatch from the #COVID19 Frontline:,0
"My fellow citizens,   THERE IS ABSOLUTELY NO NEED TO PANIC.  Essential commodities, medicines etc. would be available. Centre and various state governments will work in close coordination to ensure this.  Together, we will fight COVID-19 and create a healthier India.   Jai Hind!",1
Dogs when they found out their owners can’t leave because of the corona virus https://t.co/ciwmNz0q36,0
no.. one...  cleans like Gaston quarantines like Gaston no one stops spreading COVID-19 like Gaston,1
"This is why the beaches haven't closed in Florida, and why they've had minimal COVID-19 prevention. Absolute dysfunction. https://t.co/8x2tcQeg21",1
My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. “I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers.” #Covid19 #coronavirus https://t.co/NbYuWePIVt,0
"COVID-19  Finally, some sensible advice from a Nurse  “What I have seen a lot of are recommendations for how to try to avoid getting coronavirus in the first place -- good hand washing, personal hygiene and social distancing -- but what I have NOT seen a lot of is advice for...",0
"Corona Virus isn't real, the government just wants everyone inside for two weeks so they can change the batteries in the birds.",1
day 6 of quarantine: my dad gave a talk to the cats about covid-19 😭😭😭😭😭😭😭😭 https://t.co/mLdFXzcE2P,0
This is Generation Z.   I want to name that because folks love calling everybody 40 and under Millennials.  Millennials are not at Spring Break.  Millennials are at home yelling at their Boomer parents who won’t sit still because they have “faith over fear”.,1
“hey guys happy self quarantine. The corona virus is a real thing.”  wow I had no idea! thanks Kylie! https://t.co/gfPNwVFH3e,0
"The World Health Organization warns young people: “You are not invincible.”   COVID-19 could “put you in hospital for weeks, or even kill you. Even if you don’t get sick, the choices you make about where you go could be the difference between life and death for someone else.”",1
This man hospital bill bout to be so much.,1
Video of a hospital in Spain. Watch it. Watch it again with the volume up.  Now cancel that brunch.  Postpone that coffee meet-up.  Rain check that dinner with friends.  Sucks doesn’t it? But not as hard as this 👇 #COVIDー19 #coronavirus #StayAtHome   https://t.co/LM9BnFQf3E,0
When you’re a goalkeeper... and an only child... in self isolation... and trying to keep up with your training... 😂😂came up with this himself! I’m so impressed. #coronavirus #StayHomeStaySafe https://t.co/FFzJ1LE3N1,0
"Covid-19 might be big, but I just want to remind y’all that our God is BIGGER.✨",0
CDC just announced that corona can be spread via Instagram story challenges :-/,1
"Katie Porter's sister, a doctor, is breaking down how staying in can save lives during the COVID-19 crisis https://t.co/9q7MpbpES8",1
Anybody else just randomly yell “Corona Virus” in Cardi’s voice ?,0
"These workers need protection, healthcare, and sick pay—regardless of citizenship status. Their services are ESSENTIAL and there needs to be more aggressive dialogue around this issue. WHAT WOULD LIFE LOOK LIKE WITHOUT THEM? I don’t want to know!",0
me: h-  my mom with her phd in corona virus after graduating from whatsapp threads: https://t.co/msWK8DKN2G,0
