SENTENCES,Golden
"#handsanitizer 🤲 
Gel wash with Aloe Vera &amp; Vitamin E. Protect your hands from drying out.
#COVID19 #Health #HealthcareHeroes 
#Hospital #procurement #governmentsupply #wholesale 
#WHO @medicalhubRMIT1 @ama_media @healthgovau @ahahospitals https://t.co/rxMjSSaf7d",1
"Hi.   Yes, it originated in China, but the technical term is Covid-19   Your mom originated from the back of a Buick Skylark, but we call her Judith  Don’t be mean.",0
@MrHickmott @MikeEnoch49 @BrianUkulele The only point being made is that pneumonia can be a complication of coronavirus.,1
"One would think it's common sense but obviously not! 
 Sharing just in case you are a #COVIDIOT and believe ingesting or injecting #lysol kills the #COVID19 virus. https://t.co/OypxV52zrK",1
"Doses and mimosas
Champagne and cocaine
Help to get me through @CHERUBlamusica had it right. #COVID19",0
Retweet this if you still have no idea how to get tested for the #coronavirus.,0
MORE PEOPLE DIE FROM THE REGULAR FUCKING FLU EVERY YEAR THAN THE NUMBER OF PEOPLE WHO HAVE DIED FROM THE CORONA VIRUS JUST WASH YOUR HANDS COVER YOUR MOUTH WHEN COUGHING TAKE YOUR FUCKING VITAMINS AND STOP BEING RACIST TO EVERY ASIAN PERSON YOU SEE YOU FUCK HEADS,1
"@TheAgenda_SABC Does have no travel restrictions mean that we as South African's are immune to the #coronavirus ?
If not then what is the intention behind not restricting travel to and from China for the safety of our citizens?",1
"@trevormundel Did you ask him how is he so stupid as to not notice several CCP spies in his midst, who was making frequent trips to Wuhan, with our bio weapons? #xiangguoqiu stole this virus from the P4 lab, Canada, brought it to Wuhan, and the rest you know. #coronavirus #CCPvirus https://t.co/rthsCHAA2f",1
Looks like #China won this #biowarfare with #covid19 Was this #wuhanvirus really created in a chinese lab to attack USA? Let’s see what the #NSA has to say.,1
