SENTENCES,subjectivity,objectivity
"President Drue Pearce, Speaker Gail Phillips, members 19th Alaska Legislature, members of the cabinet, my wife Susan, my children, Devon, Luke and Sara, and fellow Alaskans.","This sentence is purely a list of acknowledgements and greetings. It doesn't present any verifiable facts or data; it's a performative element of the speech designed to establish connection and rapport, not convey objective information. The inclusion of family members, in particular, reinforces its subjective and non-factual nature.","This sentence contains objective information because it lists specific individuals and groups (President Pearce, Speaker Phillips, the 19th Alaska Legislature, cabinet members, family members, and Alaskans) – all of which are verifiable entities at a specific time. While the *inclusion* of these names might be strategic, the names themselves are factual."
"As governor, I am charged with taking stock of Alaska today, setting forth a vision of our common future and declaring a public agenda for the years ahead.And I'll get to that.","This statement contains no objective, fact-checkable information. It's a declaration of intent and a description of the speaker's perceived duties as governor – subjective claims about responsibility rather than verifiable facts. ""Taking stock,"" ""setting forth a vision,"" and ""declaring an agenda"" are actions and expressions, not concrete data points.","The sentence contains objective information because it states a legal duty (""charged with"") – being governor legally mandates taking stock, setting a vision, and declaring an agenda. While the *content* of those actions is subjective, the *existence* of the responsibility itself is a verifiable fact based on the Alaska State Constitution and the duties of the office."
"But first, let me also recognize your other legislative leadership: Senate Majority Leader Rick Halford and Minority Leader Jim Duncan, House Majority Leader Al Vezey and Minority Leader Jerry Mackie.","This sentence is purely performative, not factual. It's a statement of acknowledgement and recognition, a customary courtesy in political speeches. While the names and titles mentioned *could* be verified (e.g., confirming who holds those leadership positions), the act of *recognizing* them is a subjective action and carries no objective truth value. It's a rhetorical device, not a statement of fact.","This sentence contains objective information because it lists specific individuals (Rick Halford, Jim Duncan, Al Vezey, Jerry Mackie) and their titles (Senate Majority Leader, Minority Leader, House Majority Leader, Minority Leader). These are verifiable roles within the Alaska legislature at the time of the speech – their existence and titles can be confirmed through official records."
"And let me congratulate each of you in this chamber for getting yourselves elected, some by wider margins than others.","This sentence expresses a congratulatory sentiment and offers a subjective observation (""some by wider margins than others""). The margins of victory for each legislator are verifiable facts, but the sentence itself doesn't *present* those facts; it merely offers a general, subjective comment about them. Therefore, it lacks objective information.","The sentence contains objective information because it refers to a verifiable fact: the individuals named were indeed elected. While the ""wider margins"" claim is comparative and requires further investigation, the core statement of election is factual and can be confirmed through public records."
"Let me tell you, there’s no one here who more firmly embraces the notion that every vote counts than me.","This statement is purely subjective opinion. It's an assertion of personal belief (""I embrace the notion that every vote counts more firmly than anyone else here"") and cannot be objectively verified. It's a rhetorical flourish, not a factual claim.","While largely rhetorical, the sentence contains objective information: it's a statement about the speaker's belief. The *existence* of the speaker's belief is a verifiable fact, even if the *strength* of that belief is subjective. Fact-checkers could investigate whether the speaker's actions align with this stated belief."
Many of us here are a product of a great tide of change that has swept over this country.,"The sentence ""Many of us here are a product of a great tide of change that has swept over this country"" is subjective and lacks objective information. It's a metaphorical statement about the speaker and audience's experiences, relying on vague terms (""great tide of change"") and offering no verifiable facts. It's an appeal to shared experience, not a statement of demonstrable truth.","While metaphorical (""tide of change""), the sentence references a demonstrable historical reality: significant shifts in the country's political landscape and voter preferences over time. It's fact-like because it alludes to identifiable electoral outcomes and societal developments that can be verified through historical records and election data."
"In two national elections in as many years, the voters have spoken loudly for change - one time for Democrats and one time for Republicans.","This sentence lacks objective information because ""spoken loudly"" and ""for change"" are subjective interpretations of voter behavior. While the factual sequence of two elections occurring within two years is verifiable, the *meaning* attributed to those elections (""speaking loudly for change"") is an opinion, not a demonstrable fact. It's a rhetorical device to frame the situation, not a statement of objective reality.",The sentence contains objective information because it refers to verifiable facts: the occurrence of two national elections within consecutive years and the fact that one election resulted in a Democratic victory and the other a Republican victory. These are dates and outcomes that can be confirmed through official election records.
"Regardless of our political party, I believe it is incumbent on all of us to honor their demand for change.","The sentence ""Regardless of our political party, I believe it is incumbent on all of us to honor their demand for change"" expresses a subjective belief and interpretation. It doesn't present verifiable facts. ""Demand for change"" is an interpretation of voter behavior, and the statement about what is ""incumbent"" is a value judgment, not an objective truth.","The sentence contains objective information because it references two recent national elections. The existence and timing of these elections are verifiable facts, grounding the statement even though the interpretation of ""demand for change"" is subjective."
One way I'm trying to do that is through the transition process from the previous administration to this one.,"This sentence expresses the speaker's *intention* and *method*, not a verifiable fact. It's a statement of action (""I'm trying"") and doesn't present information that can be objectively proven true or false. It's subjective and reflects the speaker's approach.","The sentence contains objective information because it describes a specific action – the speaker's engagement in a transition process. This action (a transition process) can be verified through records of government actions and personnel changes, making it a factual claim, even if the speaker's motivations are subjective."
"About a month ago, we asked more than 320 Alaskans from across this state to come together to give us their best and brightest ideas about the direction that Alaska should go.","This sentence lacks objective information because it contains subjective and unverifiable claims. ""Best and brightest ideas"" is a value judgment, and there's no way to objectively confirm the quality or nature of the ideas shared. It's a rhetorical device to portray a collaborative and thoughtful process, not a statement of fact.","The sentence contains verifiable factual elements. The number ""320,"" the phrase ""Alaskans from across this state,"" and the described action of requesting ideas are all potentially verifiable through records of the transition process (e.g., meeting lists, press releases, travel logs). While the ""best and brightest ideas"" component is subjective, the *fact* of soliciting input from a group of people is objective."
"They came by plane, boat and car to Sitka, Kodiak, Bethel, Kenai, Fairbanks, Juneau and Anchorage.","This sentence describes a specific event – how people traveled to meetings. While seemingly factual, the *manner* of travel is subjective and anecdotal. It's a narrative detail intended to evoke a feeling of widespread participation, not a verifiable fact. There's no objective way to confirm or deny *how* each individual chose to travel.","This sentence contains objective information because it asserts specific modes of transportation (plane, boat, car) and lists verifiable locations (Sitka, Kodiak, Bethel, Kenai, Fairbanks, Juneau, Anchorage) where people traveled. While the *reason* for their travel is subjective, the *fact* of their arrival at those locations via those methods is potentially verifiable."
Willie Kasayulie even snowmachined in from Akiachak.,"The sentence ""Willie Kasayulie even snowmachined in from Akiachak"" lacks objective verifiability. While it presents a factual claim (travel method and origin), it's presented as an anecdotal detail intended to evoke a feeling of dedication and effort. Verifying *how* someone traveled is difficult, and the ""even"" implies a subjective assessment of impressiveness, making it more illustrative than factual.","The sentence ""Willie Kasayulie even snowmachined in from Akiachak"" contains objective information because it asserts a verifiable action (travel by snowmachine) and a specific origin point (Akiachak) for a named individual (Willie Kasayulie). This can be checked by confirming Willie Kasayulie's existence and potentially verifying his travel from Akiachak."
"Willie and everyone else involved - especially Lt. Gov. Fran Ulmer, who headed up this massive effort – delivered above and beyond the call of duty.","This sentence expresses subjective praise and opinion. ""Delivered above and beyond the call of duty"" is a qualitative judgment, not a verifiable fact. It's an interpretation of their actions, not an objective description. While Willie Kasayulie and Fran Ulmer *did* participate in an effort, the claim of exceeding expectations is a value judgment.","The sentence contains verifiable facts: Willie Kasayulie snowmachined in from Akiachak (location can be confirmed), and Fran Ulmer held a leadership role (""headed up"") in a specific, identifiable effort. While ""above and beyond the call of duty"" is subjective, the *existence* of Willie's travel and Fran Ulmer's leadership are demonstrable facts."
This collective wisdom will guide us as we chart a new course for Alaska.,"The sentence ""This collective wisdom will guide us as we chart a new course for Alaska"" expresses a subjective belief and future intention, not a verifiable fact. ""Collective wisdom"" is a qualitative assessment, and the claim that it *will* guide future actions is a prediction, not an established truth. It's an aspirational statement, not objective information.","While the sentence expresses a subjective claim about future guidance, it contains objective information: **a group (""this collective wisdom"") exists and previously contributed to a defined effort (headed by Lt. Gov. Ulmer).** The existence of this group and their prior work are verifiable facts, even if their future influence is a prediction."
I'd like to thank the hundreds of Alaskans who shared their energy and ideas to help us achieve a new direction.,"This sentence lacks objective information because ""energy"" and ""ideas"" are subjective terms, and ""achieve a new direction"" is a vague, aspirational statement. It expresses gratitude and implies effort, but doesn't present verifiable facts about *what* energy/ideas were shared or *how* a ""new direction"" was achieved. It's a statement of appreciation, not a factual report.","The sentence contains verifiable objective information. While ""energy"" and ""ideas"" are subjective, the claim of thanking ""hundreds of Alaskans"" is potentially verifiable through records of meetings, submissions, or participation lists related to the speaker's initiative. The existence of *some* number of Alaskans contributing is a factual claim that can be investigated."
"In the coming weeks, I'll be reporting to the people of Alaska the complete results of this work.","The sentence ""In the coming weeks, I'll be reporting to the people of Alaska the complete results of this work"" lacks objective information because ""complete results"" is subjective and undefined. What constitutes ""complete"" is determined by the speaker, not by any external, verifiable standard. It's a promise of a report, not a statement of fact.","The sentence contains objective information because it makes a verifiable claim: the speaker intends to publicly release findings (""complete results of this work"") within a defined timeframe (""in the coming weeks""). Fact-checkers can assess whether this reporting actually occurs and if the released information aligns with the described ""complete results."""
A great feature of democracy is that it permits those of us who seek public office to enter into a dialog with the people.,"This statement is subjective opinion, not objective fact. While dialogue is *a* feature of democracy, characterizing it as ""great"" is a value judgment. The statement expresses a positive sentiment about a democratic process, not a verifiable truth.","The statement ""A great feature of democracy is that it permits those of us who seek public office to enter into a dialog with the people"" contains objective information because it refers to a demonstrable characteristic of democratic systems – the ability for political candidates to engage in public discourse. While ""great"" is subjective, the core assertion about dialogue is a factual element of how democracies function."
"As I traveled around this state over the past year, I spoke to thousands of Alaskans.","The statement ""As I traveled around this state over the past year, I spoke to thousands of Alaskans"" is subjective and unverifiable. While travel and conversations *likely* occurred, the *number* of Alaskans spoken to (""thousands"") is a vague, potentially inflated figure used for rhetorical effect and lacks objective measurement. It's a claim about the speaker's actions, not a factual assertion.","The statement ""As I traveled around this state over the past year, I spoke to thousands of Alaskans"" contains objective information because the *actions* of travel and speaking to people are verifiable. While the *content* of those conversations is subjective, the fact that travel occurred and conversations took place with a number of people (even if the exact number is potentially inflated) can be investigated through travel records, public appearances, and potentially even attendee counts."
I asked them what they saw in Alaska's future and what they wanted to see.,"This sentence is subjective and unverifiable. It reports on the speaker's *actions* (asking questions) and *claims* about the responses, but provides no concrete data or evidence. ""What they saw"" and ""what they wanted to see"" are opinions, not objective facts. The statement cannot be independently confirmed.","The statement ""I asked them what they saw in Alaska's future and what they wanted to see"" contains objective information because it asserts the speaker engaged in a verifiable action: asking questions of people. While the *content* of those questions and the *responses* are subjective, the act of asking itself is an observable action that can be confirmed or denied through witness accounts or records (e.g., public appearances, interviews)."
"Their vision was remarkably similar: an opportunity for meaningful jobs; good schools for their children; safety on their streets, bringing Alaskans together.","This sentence lacks objective information because ""remarkably similar"" is a subjective assessment. It's an interpretation of the speaker's perception of a group's visions, not a verifiable fact. We have no independent way to confirm the degree of similarity.","While subjective interpretation (""remarkably similar"") is present, the sentence lists specific, verifiable elements – ""meaningful jobs,"" ""good schools,"" ""safety on their streets"" – that represent stated desires of a group of Alaskans. These are concrete concepts that *could* be investigated through surveys or interviews to determine if they accurately reflect a shared vision, making the sentence contain fact-like information."
